PrecinctName,PrecintCode,PrecinctNumber,Phone,Borough,Address
1st Precinct,1st,1,212-334-0611,Manhattan,16 Ericsson Place
5th Precinct,5th,5,212-334-0711,Manhattan,19 Elizabeth Street
6th Precinct,6th,6,212-741-4811,Manhattan,233 West 10 Street
7th Precinct,7th,7,212-477-7311,Manhattan,19 1/2 Pitt Street
9th Precinct,9th,9,212-477-7811,Manhattan,321 East 5 Street
10th Precinct,10th,10,212-741-8211,Manhattan,230 West 20th Street
13th Precinct,13th,13,212-477-7411,Manhattan,230 East 21st Street
Midtown South Precinct,,,212-239-9811,Manhattan,357 West 35th Street
17th Precinct,17th,17,212-826-3211,Manhattan,167 East 51st Street
Midtown North Precinct,,,212-767-8400,Manhattan,306 West 54th Street
19th Precinct,19th,19,212-452-0600,Manhattan,153 East 67th Street
20th Precinct,20th,20,212-580-6411,Manhattan,120 West 82nd Street
Central Park Precinct,,,212-570-4820,Manhattan,86th St & Transverse Road
23rd Precinct,23rd,23,212-860-6411,Manhattan,164 East 102nd Street
24th Precinct,24th,24,212-678-1811,Manhattan,151 West 100th Street
25th Precinct,25th,25,212-860-6511,Manhattan,120 East 119th Street
26th Precinct,26th,26,212-678-1311,Manhattan,520 West 126th Street
28th Precinct,28th,28,212-678-1611,Manhattan,2271-89 8th Avenue
30th Precinct,30th,30,212-690-8811,Manhattan,451 West 151st Street
32nd Precinct,32nd,32,212-690-6311,Manhattan,250 West 135th Street
33rd Precinct,33rd,33,212-927-3200,Manhattan,2207 Amsterdam Avenue
34th Precinct,34th,34,212-927-9711,Manhattan,4295 Broadway
40th Precinct,40th,40,718-402-2270,Bronx,257 Alexander Avenue
41st Precinct,41st,41,718-542-4771,Bronx,1035 Longwood Avenue
42nd Precinct,42nd,42,718-402-3887,Bronx,830 Washington Avenue
43rd Precinct,43rd,43,718-542-0888,Bronx,900 Fteley Avenue
44th Precinct,44th,44,718-590-5511,Bronx,2 East 169th Street
45th Precinct,45th,45,718-822-5411,Bronx,2877 Barkley Avenue
